date,predicted_revenue
2024-01-01,813.4208858376514
2024-01-02,844.5500474108994
2024-01-03,712.7490845445718
2024-01-04,719.3717224898573
2024-01-05,696.570970301429
2024-01-06,699.9604490552883
2024-01-07,730.079774592843
2024-01-08,837.680194998873
2024-01-09,873.3285075578024
2024-01-10,701.8084335281019
2024-01-11,716.3712537341489
2024-01-12,701.7162798815261
2024-01-13,699.2134642017627
2024-01-14,737.037995732564
2024-01-15,803.8766702449648
2024-01-16,860.3906444690656
2024-01-17,718.4700860088924
2024-01-18,719.7784115432878
2024-01-19,712.137880533759
2024-01-20,691.5150352905766
2024-01-21,758.5406395765604
2024-01-22,839.0579273855692
2024-01-23,845.095937309161
2024-01-24,711.0129212902393
2024-01-25,724.5089807592158
2024-01-26,708.2428110173059
2024-01-27,719.6022799266211
2024-01-28,717.3597968923714
2024-01-29,818.1228538890573
2024-01-30,874.5417432996037
